texto,sentimiento,likes,shares,fecha
"Me encanta este producto, excelente calidad",Negativo,9,3,2023-01-01 00:00:00
"Servicio terrible, muy decepcionado",Positivo,10,2,2023-01-01 01:00:00
"Producto regular, nada especial",Neutral,5,3,2023-01-01 02:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,9,3,2023-01-01 03:00:00
No vale la pena el precio,Positivo,8,6,2023-01-01 04:00:00
"Me encanta este producto, excelente calidad",Negativo,6,2,2023-01-01 05:00:00
"Servicio terrible, muy decepcionado",Positivo,8,2,2023-01-01 06:00:00
"Producto regular, nada especial",Positivo,8,2,2023-01-01 07:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,14,1,2023-01-01 08:00:00
No vale la pena el precio,Negativo,6,3,2023-01-01 09:00:00
"Me encanta este producto, excelente calidad",Negativo,8,5,2023-01-01 10:00:00
"Servicio terrible, muy decepcionado",Negativo,3,4,2023-01-01 11:00:00
"Producto regular, nada especial",Negativo,10,4,2023-01-01 12:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,8,3,2023-01-01 13:00:00
No vale la pena el precio,Positivo,10,2,2023-01-01 14:00:00
"Me encanta este producto, excelente calidad",Positivo,8,4,2023-01-01 15:00:00
"Servicio terrible, muy decepcionado",Neutral,8,3,2023-01-01 16:00:00
"Producto regular, nada especial",Positivo,8,3,2023-01-01 17:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,10,1,2023-01-01 18:00:00
No vale la pena el precio,Neutral,5,4,2023-01-01 19:00:00
"Me encanta este producto, excelente calidad",Negativo,10,3,2023-01-01 20:00:00
"Servicio terrible, muy decepcionado",Neutral,9,1,2023-01-01 21:00:00
"Producto regular, nada especial",Positivo,8,1,2023-01-01 22:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,3,1,2023-01-01 23:00:00
No vale la pena el precio,Negativo,13,2,2023-01-02 00:00:00
"Me encanta este producto, excelente calidad",Positivo,6,3,2023-01-02 01:00:00
"Servicio terrible, muy decepcionado",Neutral,12,3,2023-01-02 02:00:00
"Producto regular, nada especial",Positivo,19,3,2023-01-02 03:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,13,1,2023-01-02 04:00:00
No vale la pena el precio,Negativo,7,3,2023-01-02 05:00:00
"Me encanta este producto, excelente calidad",Negativo,9,2,2023-01-02 06:00:00
"Servicio terrible, muy decepcionado",Positivo,5,1,2023-01-02 07:00:00
"Producto regular, nada especial",Positivo,6,1,2023-01-02 08:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,11,1,2023-01-02 09:00:00
No vale la pena el precio,Positivo,6,4,2023-01-02 10:00:00
"Me encanta este producto, excelente calidad",Neutral,7,3,2023-01-02 11:00:00
"Servicio terrible, muy decepcionado",Negativo,9,2,2023-01-02 12:00:00
"Producto regular, nada especial",Neutral,4,2,2023-01-02 13:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,13,3,2023-01-02 14:00:00
No vale la pena el precio,Positivo,8,2,2023-01-02 15:00:00
"Me encanta este producto, excelente calidad",Negativo,8,4,2023-01-02 16:00:00
"Servicio terrible, muy decepcionado",Neutral,11,2,2023-01-02 17:00:00
"Producto regular, nada especial",Negativo,8,3,2023-01-02 18:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,6,5,2023-01-02 19:00:00
No vale la pena el precio,Negativo,18,5,2023-01-02 20:00:00
"Me encanta este producto, excelente calidad",Positivo,5,2,2023-01-02 21:00:00
"Servicio terrible, muy decepcionado",Positivo,8,1,2023-01-02 22:00:00
"Producto regular, nada especial",Neutral,9,1,2023-01-02 23:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,7,4,2023-01-03 00:00:00
No vale la pena el precio,Neutral,8,1,2023-01-03 01:00:00
"Me encanta este producto, excelente calidad",Neutral,7,4,2023-01-03 02:00:00
"Servicio terrible, muy decepcionado",Positivo,16,1,2023-01-03 03:00:00
"Producto regular, nada especial",Positivo,9,5,2023-01-03 04:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,10,1,2023-01-03 05:00:00
No vale la pena el precio,Positivo,9,1,2023-01-03 06:00:00
"Me encanta este producto, excelente calidad",Neutral,9,2,2023-01-03 07:00:00
"Servicio terrible, muy decepcionado",Negativo,7,4,2023-01-03 08:00:00
"Producto regular, nada especial",Negativo,11,0,2023-01-03 09:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,3,4,2023-01-03 10:00:00
No vale la pena el precio,Positivo,10,0,2023-01-03 11:00:00
"Me encanta este producto, excelente calidad",Negativo,21,1,2023-01-03 12:00:00
"Servicio terrible, muy decepcionado",Positivo,7,3,2023-01-03 13:00:00
"Producto regular, nada especial",Positivo,6,1,2023-01-03 14:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,15,4,2023-01-03 15:00:00
No vale la pena el precio,Neutral,3,3,2023-01-03 16:00:00
"Me encanta este producto, excelente calidad",Positivo,11,2,2023-01-03 17:00:00
"Servicio terrible, muy decepcionado",Negativo,11,4,2023-01-03 18:00:00
"Producto regular, nada especial",Negativo,11,7,2023-01-03 19:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,5,4,2023-01-03 20:00:00
No vale la pena el precio,Positivo,10,4,2023-01-03 21:00:00
"Me encanta este producto, excelente calidad",Neutral,13,3,2023-01-03 22:00:00
"Servicio terrible, muy decepcionado",Neutral,8,3,2023-01-03 23:00:00
"Producto regular, nada especial",Negativo,14,2,2023-01-04 00:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,13,2,2023-01-04 01:00:00
No vale la pena el precio,Positivo,10,3,2023-01-04 02:00:00
"Me encanta este producto, excelente calidad",Negativo,9,3,2023-01-04 03:00:00
"Servicio terrible, muy decepcionado",Negativo,12,2,2023-01-04 04:00:00
"Producto regular, nada especial",Negativo,17,3,2023-01-04 05:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,3,2023-01-04 06:00:00
No vale la pena el precio,Positivo,6,3,2023-01-04 07:00:00
"Me encanta este producto, excelente calidad",Positivo,9,4,2023-01-04 08:00:00
"Servicio terrible, muy decepcionado",Neutral,10,3,2023-01-04 09:00:00
"Producto regular, nada especial",Negativo,11,8,2023-01-04 10:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,3,2023-01-04 11:00:00
No vale la pena el precio,Positivo,9,2,2023-01-04 12:00:00
"Me encanta este producto, excelente calidad",Positivo,13,4,2023-01-04 13:00:00
"Servicio terrible, muy decepcionado",Neutral,2,0,2023-01-04 14:00:00
"Producto regular, nada especial",Negativo,8,4,2023-01-04 15:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,10,2,2023-01-04 16:00:00
No vale la pena el precio,Positivo,7,1,2023-01-04 17:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-04 18:00:00
"Servicio terrible, muy decepcionado",Positivo,15,1,2023-01-04 19:00:00
"Producto regular, nada especial",Positivo,11,1,2023-01-04 20:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,7,4,2023-01-04 21:00:00
No vale la pena el precio,Positivo,13,3,2023-01-04 22:00:00
"Me encanta este producto, excelente calidad",Positivo,9,2,2023-01-04 23:00:00
"Servicio terrible, muy decepcionado",Negativo,7,3,2023-01-05 00:00:00
"Producto regular, nada especial",Negativo,13,3,2023-01-05 01:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,7,3,2023-01-05 02:00:00
No vale la pena el precio,Negativo,14,5,2023-01-05 03:00:00
"Me encanta este producto, excelente calidad",Positivo,4,4,2023-01-05 04:00:00
"Servicio terrible, muy decepcionado",Positivo,12,1,2023-01-05 05:00:00
"Producto regular, nada especial",Neutral,13,2,2023-01-05 06:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,10,3,2023-01-05 07:00:00
No vale la pena el precio,Neutral,6,3,2023-01-05 08:00:00
"Me encanta este producto, excelente calidad",Positivo,8,5,2023-01-05 09:00:00
"Servicio terrible, muy decepcionado",Negativo,11,2,2023-01-05 10:00:00
"Producto regular, nada especial",Positivo,14,3,2023-01-05 11:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,4,2023-01-05 12:00:00
No vale la pena el precio,Neutral,9,2,2023-01-05 13:00:00
"Me encanta este producto, excelente calidad",Neutral,9,2,2023-01-05 14:00:00
"Servicio terrible, muy decepcionado",Negativo,10,1,2023-01-05 15:00:00
"Producto regular, nada especial",Negativo,10,3,2023-01-05 16:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,10,4,2023-01-05 17:00:00
No vale la pena el precio,Negativo,13,6,2023-01-05 18:00:00
"Me encanta este producto, excelente calidad",Positivo,11,2,2023-01-05 19:00:00
"Servicio terrible, muy decepcionado",Negativo,10,5,2023-01-05 20:00:00
"Producto regular, nada especial",Positivo,7,4,2023-01-05 21:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,7,2023-01-05 22:00:00
No vale la pena el precio,Negativo,4,4,2023-01-05 23:00:00
"Me encanta este producto, excelente calidad",Negativo,7,3,2023-01-06 00:00:00
"Servicio terrible, muy decepcionado",Positivo,11,2,2023-01-06 01:00:00
"Producto regular, nada especial",Positivo,12,5,2023-01-06 02:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,13,6,2023-01-06 03:00:00
No vale la pena el precio,Neutral,10,2,2023-01-06 04:00:00
"Me encanta este producto, excelente calidad",Negativo,11,2,2023-01-06 05:00:00
"Servicio terrible, muy decepcionado",Positivo,5,2,2023-01-06 06:00:00
"Producto regular, nada especial",Neutral,6,1,2023-01-06 07:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,11,4,2023-01-06 08:00:00
No vale la pena el precio,Positivo,15,5,2023-01-06 09:00:00
"Me encanta este producto, excelente calidad",Positivo,11,5,2023-01-06 10:00:00
"Servicio terrible, muy decepcionado",Neutral,4,5,2023-01-06 11:00:00
"Producto regular, nada especial",Neutral,9,3,2023-01-06 12:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,15,5,2023-01-06 13:00:00
No vale la pena el precio,Neutral,7,3,2023-01-06 14:00:00
"Me encanta este producto, excelente calidad",Negativo,6,0,2023-01-06 15:00:00
"Servicio terrible, muy decepcionado",Negativo,14,2,2023-01-06 16:00:00
"Producto regular, nada especial",Positivo,10,2,2023-01-06 17:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,8,3,2023-01-06 18:00:00
No vale la pena el precio,Negativo,17,3,2023-01-06 19:00:00
"Me encanta este producto, excelente calidad",Negativo,10,4,2023-01-06 20:00:00
"Servicio terrible, muy decepcionado",Negativo,6,4,2023-01-06 21:00:00
"Producto regular, nada especial",Neutral,11,3,2023-01-06 22:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,6,2,2023-01-06 23:00:00
No vale la pena el precio,Negativo,8,2,2023-01-07 00:00:00
"Me encanta este producto, excelente calidad",Positivo,12,4,2023-01-07 01:00:00
"Servicio terrible, muy decepcionado",Negativo,7,3,2023-01-07 02:00:00
"Producto regular, nada especial",Neutral,11,0,2023-01-07 03:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,15,4,2023-01-07 04:00:00
No vale la pena el precio,Neutral,13,3,2023-01-07 05:00:00
"Me encanta este producto, excelente calidad",Positivo,10,2,2023-01-07 06:00:00
"Servicio terrible, muy decepcionado",Negativo,11,1,2023-01-07 07:00:00
"Producto regular, nada especial",Positivo,9,3,2023-01-07 08:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,12,3,2023-01-07 09:00:00
No vale la pena el precio,Neutral,10,2,2023-01-07 10:00:00
"Me encanta este producto, excelente calidad",Negativo,7,1,2023-01-07 11:00:00
"Servicio terrible, muy decepcionado",Neutral,14,3,2023-01-07 12:00:00
"Producto regular, nada especial",Positivo,12,5,2023-01-07 13:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,13,4,2023-01-07 14:00:00
No vale la pena el precio,Positivo,10,3,2023-01-07 15:00:00
"Me encanta este producto, excelente calidad",Neutral,9,4,2023-01-07 16:00:00
"Servicio terrible, muy decepcionado",Positivo,13,6,2023-01-07 17:00:00
"Producto regular, nada especial",Positivo,15,4,2023-01-07 18:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,2,2023-01-07 19:00:00
No vale la pena el precio,Neutral,11,2,2023-01-07 20:00:00
"Me encanta este producto, excelente calidad",Positivo,10,2,2023-01-07 21:00:00
"Servicio terrible, muy decepcionado",Positivo,10,2,2023-01-07 22:00:00
"Producto regular, nada especial",Neutral,17,2,2023-01-07 23:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,6,2,2023-01-08 00:00:00
No vale la pena el precio,Positivo,7,2,2023-01-08 01:00:00
"Me encanta este producto, excelente calidad",Negativo,9,1,2023-01-08 02:00:00
"Servicio terrible, muy decepcionado",Positivo,13,2,2023-01-08 03:00:00
"Producto regular, nada especial",Neutral,6,1,2023-01-08 04:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,10,4,2023-01-08 05:00:00
No vale la pena el precio,Negativo,11,1,2023-01-08 06:00:00
"Me encanta este producto, excelente calidad",Neutral,7,4,2023-01-08 07:00:00
"Servicio terrible, muy decepcionado",Negativo,8,2,2023-01-08 08:00:00
"Producto regular, nada especial",Positivo,9,1,2023-01-08 09:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,4,2023-01-08 10:00:00
No vale la pena el precio,Negativo,10,4,2023-01-08 11:00:00
"Me encanta este producto, excelente calidad",Positivo,10,4,2023-01-08 12:00:00
"Servicio terrible, muy decepcionado",Neutral,14,2,2023-01-08 13:00:00
"Producto regular, nada especial",Neutral,9,2,2023-01-08 14:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,15,2,2023-01-08 15:00:00
No vale la pena el precio,Negativo,10,2,2023-01-08 16:00:00
"Me encanta este producto, excelente calidad",Neutral,14,2,2023-01-08 17:00:00
"Servicio terrible, muy decepcionado",Neutral,15,5,2023-01-08 18:00:00
"Producto regular, nada especial",Neutral,15,1,2023-01-08 19:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,10,1,2023-01-08 20:00:00
No vale la pena el precio,Neutral,9,5,2023-01-08 21:00:00
"Me encanta este producto, excelente calidad",Negativo,7,3,2023-01-08 22:00:00
"Servicio terrible, muy decepcionado",Negativo,4,2,2023-01-08 23:00:00
"Producto regular, nada especial",Positivo,9,4,2023-01-09 00:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,2,2023-01-09 01:00:00
No vale la pena el precio,Negativo,18,3,2023-01-09 02:00:00
"Me encanta este producto, excelente calidad",Positivo,14,3,2023-01-09 03:00:00
"Servicio terrible, muy decepcionado",Positivo,5,4,2023-01-09 04:00:00
"Producto regular, nada especial",Neutral,11,4,2023-01-09 05:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,3,2,2023-01-09 06:00:00
No vale la pena el precio,Negativo,11,2,2023-01-09 07:00:00
"Me encanta este producto, excelente calidad",Negativo,10,1,2023-01-09 08:00:00
"Servicio terrible, muy decepcionado",Neutral,4,6,2023-01-09 09:00:00
"Producto regular, nada especial",Negativo,10,4,2023-01-09 10:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,21,3,2023-01-09 11:00:00
No vale la pena el precio,Negativo,10,2,2023-01-09 12:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-09 13:00:00
"Servicio terrible, muy decepcionado",Neutral,9,2,2023-01-09 14:00:00
"Producto regular, nada especial",Negativo,15,5,2023-01-09 15:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,8,1,2023-01-09 16:00:00
No vale la pena el precio,Neutral,10,3,2023-01-09 17:00:00
"Me encanta este producto, excelente calidad",Positivo,9,1,2023-01-09 18:00:00
"Servicio terrible, muy decepcionado",Negativo,11,1,2023-01-09 19:00:00
"Producto regular, nada especial",Negativo,17,7,2023-01-09 20:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,6,2023-01-09 21:00:00
No vale la pena el precio,Positivo,12,1,2023-01-09 22:00:00
"Me encanta este producto, excelente calidad",Positivo,7,5,2023-01-09 23:00:00
"Servicio terrible, muy decepcionado",Negativo,12,3,2023-01-10 00:00:00
"Producto regular, nada especial",Neutral,11,2,2023-01-10 01:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,3,2023-01-10 02:00:00
No vale la pena el precio,Neutral,7,3,2023-01-10 03:00:00
"Me encanta este producto, excelente calidad",Positivo,8,4,2023-01-10 04:00:00
"Servicio terrible, muy decepcionado",Negativo,9,6,2023-01-10 05:00:00
"Producto regular, nada especial",Positivo,10,3,2023-01-10 06:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,8,3,2023-01-10 07:00:00
No vale la pena el precio,Neutral,10,5,2023-01-10 08:00:00
"Me encanta este producto, excelente calidad",Negativo,16,0,2023-01-10 09:00:00
"Servicio terrible, muy decepcionado",Neutral,10,5,2023-01-10 10:00:00
"Producto regular, nada especial",Negativo,17,2,2023-01-10 11:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,14,1,2023-01-10 12:00:00
No vale la pena el precio,Neutral,9,4,2023-01-10 13:00:00
"Me encanta este producto, excelente calidad",Neutral,14,4,2023-01-10 14:00:00
"Servicio terrible, muy decepcionado",Negativo,9,5,2023-01-10 15:00:00
"Producto regular, nada especial",Positivo,11,2,2023-01-10 16:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,11,2,2023-01-10 17:00:00
No vale la pena el precio,Positivo,11,4,2023-01-10 18:00:00
"Me encanta este producto, excelente calidad",Negativo,9,4,2023-01-10 19:00:00
"Servicio terrible, muy decepcionado",Negativo,5,3,2023-01-10 20:00:00
"Producto regular, nada especial",Negativo,11,1,2023-01-10 21:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,8,1,2023-01-10 22:00:00
No vale la pena el precio,Positivo,9,1,2023-01-10 23:00:00
"Me encanta este producto, excelente calidad",Negativo,10,1,2023-01-11 00:00:00
"Servicio terrible, muy decepcionado",Neutral,4,4,2023-01-11 01:00:00
"Producto regular, nada especial",Positivo,7,3,2023-01-11 02:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,12,4,2023-01-11 03:00:00
No vale la pena el precio,Neutral,9,3,2023-01-11 04:00:00
"Me encanta este producto, excelente calidad",Negativo,7,3,2023-01-11 05:00:00
"Servicio terrible, muy decepcionado",Positivo,19,3,2023-01-11 06:00:00
"Producto regular, nada especial",Negativo,11,0,2023-01-11 07:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,6,2023-01-11 08:00:00
