texto,sentimiento,likes,shares,fecha
No vale la pena el precio,Neutral,13,4,2023-01-11 09:00:00
"Me encanta este producto, excelente calidad",Positivo,10,1,2023-01-11 10:00:00
"Servicio terrible, muy decepcionado",Positivo,7,6,2023-01-11 11:00:00
"Producto regular, nada especial",Positivo,12,1,2023-01-11 12:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,12,3,2023-01-11 13:00:00
No vale la pena el precio,Neutral,9,6,2023-01-11 14:00:00
"Me encanta este producto, excelente calidad",Positivo,9,3,2023-01-11 15:00:00
"Servicio terrible, muy decepcionado",Positivo,8,1,2023-01-11 16:00:00
"Producto regular, nada especial",Negativo,12,4,2023-01-11 17:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,1,2023-01-11 18:00:00
No vale la pena el precio,Positivo,7,4,2023-01-11 19:00:00
"Me encanta este producto, excelente calidad",Neutral,15,5,2023-01-11 20:00:00
"Servicio terrible, muy decepcionado",Neutral,7,1,2023-01-11 21:00:00
"Producto regular, nada especial",Neutral,6,2,2023-01-11 22:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,4,5,2023-01-11 23:00:00
No vale la pena el precio,Negativo,11,9,2023-01-12 00:00:00
"Me encanta este producto, excelente calidad",Positivo,12,5,2023-01-12 01:00:00
"Servicio terrible, muy decepcionado",Neutral,7,4,2023-01-12 02:00:00
"Producto regular, nada especial",Neutral,5,4,2023-01-12 03:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,9,4,2023-01-12 04:00:00
No vale la pena el precio,Negativo,9,3,2023-01-12 05:00:00
"Me encanta este producto, excelente calidad",Positivo,7,2,2023-01-12 06:00:00
"Servicio terrible, muy decepcionado",Neutral,9,2,2023-01-12 07:00:00
"Producto regular, nada especial",Neutral,9,7,2023-01-12 08:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,9,4,2023-01-12 09:00:00
No vale la pena el precio,Positivo,11,3,2023-01-12 10:00:00
"Me encanta este producto, excelente calidad",Positivo,8,1,2023-01-12 11:00:00
"Servicio terrible, muy decepcionado",Positivo,10,1,2023-01-12 12:00:00
"Producto regular, nada especial",Neutral,10,2,2023-01-12 13:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,2,2023-01-12 14:00:00
No vale la pena el precio,Positivo,6,4,2023-01-12 15:00:00
"Me encanta este producto, excelente calidad",Neutral,10,3,2023-01-12 16:00:00
"Servicio terrible, muy decepcionado",Positivo,12,4,2023-01-12 17:00:00
"Producto regular, nada especial",Neutral,18,6,2023-01-12 18:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,13,2,2023-01-12 19:00:00
No vale la pena el precio,Neutral,9,5,2023-01-12 20:00:00
"Me encanta este producto, excelente calidad",Negativo,4,1,2023-01-12 21:00:00
"Servicio terrible, muy decepcionado",Neutral,14,4,2023-01-12 22:00:00
"Producto regular, nada especial",Neutral,12,2,2023-01-12 23:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,14,5,2023-01-13 00:00:00
No vale la pena el precio,Positivo,6,2,2023-01-13 01:00:00
"Me encanta este producto, excelente calidad",Positivo,17,4,2023-01-13 02:00:00
"Servicio terrible, muy decepcionado",Negativo,8,2,2023-01-13 03:00:00
"Producto regular, nada especial",Neutral,5,6,2023-01-13 04:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,13,2,2023-01-13 05:00:00
No vale la pena el precio,Negativo,7,0,2023-01-13 06:00:00
"Me encanta este producto, excelente calidad",Positivo,10,2,2023-01-13 07:00:00
"Servicio terrible, muy decepcionado",Neutral,12,3,2023-01-13 08:00:00
"Producto regular, nada especial",Neutral,11,2,2023-01-13 09:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,4,2023-01-13 10:00:00
No vale la pena el precio,Negativo,7,2,2023-01-13 11:00:00
"Me encanta este producto, excelente calidad",Positivo,5,2,2023-01-13 12:00:00
"Servicio terrible, muy decepcionado",Negativo,10,4,2023-01-13 13:00:00
"Producto regular, nada especial",Negativo,8,1,2023-01-13 14:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,1,2023-01-13 15:00:00
No vale la pena el precio,Negativo,4,4,2023-01-13 16:00:00
"Me encanta este producto, excelente calidad",Positivo,9,3,2023-01-13 17:00:00
"Servicio terrible, muy decepcionado",Negativo,10,8,2023-01-13 18:00:00
"Producto regular, nada especial",Negativo,9,1,2023-01-13 19:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,4,2023-01-13 20:00:00
No vale la pena el precio,Neutral,13,2,2023-01-13 21:00:00
"Me encanta este producto, excelente calidad",Neutral,12,2,2023-01-13 22:00:00
"Servicio terrible, muy decepcionado",Positivo,12,3,2023-01-13 23:00:00
"Producto regular, nada especial",Positivo,10,4,2023-01-14 00:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,3,2023-01-14 01:00:00
No vale la pena el precio,Neutral,6,4,2023-01-14 02:00:00
"Me encanta este producto, excelente calidad",Positivo,12,5,2023-01-14 03:00:00
"Servicio terrible, muy decepcionado",Positivo,9,5,2023-01-14 04:00:00
"Producto regular, nada especial",Positivo,6,2,2023-01-14 05:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,12,5,2023-01-14 06:00:00
No vale la pena el precio,Positivo,12,3,2023-01-14 07:00:00
"Me encanta este producto, excelente calidad",Positivo,4,5,2023-01-14 08:00:00
"Servicio terrible, muy decepcionado",Negativo,15,3,2023-01-14 09:00:00
"Producto regular, nada especial",Negativo,8,6,2023-01-14 10:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,6,1,2023-01-14 11:00:00
No vale la pena el precio,Negativo,15,1,2023-01-14 12:00:00
"Me encanta este producto, excelente calidad",Negativo,12,4,2023-01-14 13:00:00
"Servicio terrible, muy decepcionado",Positivo,11,3,2023-01-14 14:00:00
"Producto regular, nada especial",Positivo,7,7,2023-01-14 15:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,9,2,2023-01-14 16:00:00
No vale la pena el precio,Positivo,9,0,2023-01-14 17:00:00
"Me encanta este producto, excelente calidad",Neutral,9,2,2023-01-14 18:00:00
"Servicio terrible, muy decepcionado",Neutral,11,3,2023-01-14 19:00:00
"Producto regular, nada especial",Positivo,12,2,2023-01-14 20:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,3,2023-01-14 21:00:00
No vale la pena el precio,Negativo,12,3,2023-01-14 22:00:00
"Me encanta este producto, excelente calidad",Neutral,11,1,2023-01-14 23:00:00
"Servicio terrible, muy decepcionado",Neutral,11,4,2023-01-15 00:00:00
"Producto regular, nada especial",Neutral,8,4,2023-01-15 01:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,8,4,2023-01-15 02:00:00
No vale la pena el precio,Negativo,12,3,2023-01-15 03:00:00
"Me encanta este producto, excelente calidad",Negativo,7,2,2023-01-15 04:00:00
"Servicio terrible, muy decepcionado",Negativo,11,2,2023-01-15 05:00:00
"Producto regular, nada especial",Positivo,6,2,2023-01-15 06:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,12,0,2023-01-15 07:00:00
No vale la pena el precio,Neutral,11,4,2023-01-15 08:00:00
"Me encanta este producto, excelente calidad",Negativo,11,2,2023-01-15 09:00:00
"Servicio terrible, muy decepcionado",Positivo,10,4,2023-01-15 10:00:00
"Producto regular, nada especial",Positivo,8,2,2023-01-15 11:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,8,7,2023-01-15 12:00:00
No vale la pena el precio,Neutral,10,5,2023-01-15 13:00:00
"Me encanta este producto, excelente calidad",Positivo,11,3,2023-01-15 14:00:00
"Servicio terrible, muy decepcionado",Positivo,18,1,2023-01-15 15:00:00
"Producto regular, nada especial",Positivo,10,4,2023-01-15 16:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,10,1,2023-01-15 17:00:00
No vale la pena el precio,Negativo,8,2,2023-01-15 18:00:00
"Me encanta este producto, excelente calidad",Negativo,14,2,2023-01-15 19:00:00
"Servicio terrible, muy decepcionado",Negativo,14,4,2023-01-15 20:00:00
"Producto regular, nada especial",Positivo,12,5,2023-01-15 21:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,2,2023-01-15 22:00:00
No vale la pena el precio,Negativo,12,2,2023-01-15 23:00:00
"Me encanta este producto, excelente calidad",Positivo,9,2,2023-01-16 00:00:00
"Servicio terrible, muy decepcionado",Positivo,13,3,2023-01-16 01:00:00
"Producto regular, nada especial",Negativo,14,4,2023-01-16 02:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,9,1,2023-01-16 03:00:00
No vale la pena el precio,Positivo,9,4,2023-01-16 04:00:00
"Me encanta este producto, excelente calidad",Neutral,17,5,2023-01-16 05:00:00
"Servicio terrible, muy decepcionado",Neutral,15,1,2023-01-16 06:00:00
"Producto regular, nada especial",Positivo,16,2,2023-01-16 07:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,6,3,2023-01-16 08:00:00
No vale la pena el precio,Positivo,10,1,2023-01-16 09:00:00
"Me encanta este producto, excelente calidad",Neutral,6,3,2023-01-16 10:00:00
"Servicio terrible, muy decepcionado",Positivo,13,4,2023-01-16 11:00:00
"Producto regular, nada especial",Positivo,7,4,2023-01-16 12:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,8,3,2023-01-16 13:00:00
No vale la pena el precio,Neutral,11,5,2023-01-16 14:00:00
"Me encanta este producto, excelente calidad",Positivo,12,1,2023-01-16 15:00:00
"Servicio terrible, muy decepcionado",Negativo,12,4,2023-01-16 16:00:00
"Producto regular, nada especial",Negativo,12,2,2023-01-16 17:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,1,2023-01-16 18:00:00
No vale la pena el precio,Neutral,12,4,2023-01-16 19:00:00
"Me encanta este producto, excelente calidad",Positivo,7,3,2023-01-16 20:00:00
"Servicio terrible, muy decepcionado",Neutral,5,2,2023-01-16 21:00:00
"Producto regular, nada especial",Negativo,12,2,2023-01-16 22:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,11,1,2023-01-16 23:00:00
No vale la pena el precio,Negativo,9,2,2023-01-17 00:00:00
"Me encanta este producto, excelente calidad",Negativo,12,4,2023-01-17 01:00:00
"Servicio terrible, muy decepcionado",Positivo,12,4,2023-01-17 02:00:00
"Producto regular, nada especial",Negativo,8,6,2023-01-17 03:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,10,1,2023-01-17 04:00:00
No vale la pena el precio,Negativo,10,4,2023-01-17 05:00:00
"Me encanta este producto, excelente calidad",Positivo,16,0,2023-01-17 06:00:00
"Servicio terrible, muy decepcionado",Neutral,11,2,2023-01-17 07:00:00
"Producto regular, nada especial",Negativo,7,2,2023-01-17 08:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,2,2023-01-17 09:00:00
No vale la pena el precio,Negativo,6,1,2023-01-17 10:00:00
"Me encanta este producto, excelente calidad",Neutral,8,3,2023-01-17 11:00:00
"Servicio terrible, muy decepcionado",Neutral,8,5,2023-01-17 12:00:00
"Producto regular, nada especial",Negativo,14,1,2023-01-17 13:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,3,2,2023-01-17 14:00:00
No vale la pena el precio,Positivo,9,5,2023-01-17 15:00:00
"Me encanta este producto, excelente calidad",Negativo,10,2,2023-01-17 16:00:00
"Servicio terrible, muy decepcionado",Neutral,11,2,2023-01-17 17:00:00
"Producto regular, nada especial",Neutral,9,4,2023-01-17 18:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,12,2,2023-01-17 19:00:00
No vale la pena el precio,Neutral,8,2,2023-01-17 20:00:00
"Me encanta este producto, excelente calidad",Positivo,5,3,2023-01-17 21:00:00
"Servicio terrible, muy decepcionado",Neutral,9,4,2023-01-17 22:00:00
"Producto regular, nada especial",Positivo,14,4,2023-01-17 23:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,4,2023-01-18 00:00:00
No vale la pena el precio,Positivo,12,5,2023-01-18 01:00:00
"Me encanta este producto, excelente calidad",Negativo,14,2,2023-01-18 02:00:00
"Servicio terrible, muy decepcionado",Positivo,9,0,2023-01-18 03:00:00
"Producto regular, nada especial",Positivo,10,3,2023-01-18 04:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,3,2023-01-18 05:00:00
No vale la pena el precio,Positivo,10,2,2023-01-18 06:00:00
"Me encanta este producto, excelente calidad",Negativo,8,3,2023-01-18 07:00:00
"Servicio terrible, muy decepcionado",Negativo,9,5,2023-01-18 08:00:00
"Producto regular, nada especial",Positivo,7,1,2023-01-18 09:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,7,2,2023-01-18 10:00:00
No vale la pena el precio,Neutral,7,4,2023-01-18 11:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-18 12:00:00
"Servicio terrible, muy decepcionado",Positivo,20,0,2023-01-18 13:00:00
"Producto regular, nada especial",Neutral,8,5,2023-01-18 14:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,15,0,2023-01-18 15:00:00
No vale la pena el precio,Positivo,10,2,2023-01-18 16:00:00
"Me encanta este producto, excelente calidad",Positivo,9,3,2023-01-18 17:00:00
"Servicio terrible, muy decepcionado",Neutral,3,2,2023-01-18 18:00:00
"Producto regular, nada especial",Positivo,10,6,2023-01-18 19:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,15,5,2023-01-18 20:00:00
No vale la pena el precio,Positivo,13,3,2023-01-18 21:00:00
"Me encanta este producto, excelente calidad",Neutral,9,4,2023-01-18 22:00:00
"Servicio terrible, muy decepcionado",Negativo,9,5,2023-01-18 23:00:00
"Producto regular, nada especial",Positivo,10,2,2023-01-19 00:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,2,2023-01-19 01:00:00
No vale la pena el precio,Negativo,10,4,2023-01-19 02:00:00
"Me encanta este producto, excelente calidad",Negativo,14,4,2023-01-19 03:00:00
"Servicio terrible, muy decepcionado",Positivo,7,7,2023-01-19 04:00:00
"Producto regular, nada especial",Neutral,13,6,2023-01-19 05:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,13,4,2023-01-19 06:00:00
No vale la pena el precio,Negativo,10,3,2023-01-19 07:00:00
"Me encanta este producto, excelente calidad",Positivo,9,5,2023-01-19 08:00:00
"Servicio terrible, muy decepcionado",Positivo,3,2,2023-01-19 09:00:00
"Producto regular, nada especial",Positivo,7,6,2023-01-19 10:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,6,2,2023-01-19 11:00:00
No vale la pena el precio,Positivo,9,6,2023-01-19 12:00:00
"Me encanta este producto, excelente calidad",Neutral,12,3,2023-01-19 13:00:00
"Servicio terrible, muy decepcionado",Positivo,13,2,2023-01-19 14:00:00
"Producto regular, nada especial",Negativo,8,5,2023-01-19 15:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,6,3,2023-01-19 16:00:00
No vale la pena el precio,Negativo,11,2,2023-01-19 17:00:00
"Me encanta este producto, excelente calidad",Neutral,10,2,2023-01-19 18:00:00
"Servicio terrible, muy decepcionado",Negativo,6,1,2023-01-19 19:00:00
"Producto regular, nada especial",Positivo,6,4,2023-01-19 20:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,4,2,2023-01-19 21:00:00
No vale la pena el precio,Positivo,10,3,2023-01-19 22:00:00
"Me encanta este producto, excelente calidad",Negativo,14,2,2023-01-19 23:00:00
"Servicio terrible, muy decepcionado",Neutral,8,3,2023-01-20 00:00:00
"Producto regular, nada especial",Positivo,10,2,2023-01-20 01:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,0,2023-01-20 02:00:00
No vale la pena el precio,Negativo,15,2,2023-01-20 03:00:00
"Me encanta este producto, excelente calidad",Neutral,12,3,2023-01-20 04:00:00
"Servicio terrible, muy decepcionado",Neutral,7,1,2023-01-20 05:00:00
"Producto regular, nada especial",Negativo,7,2,2023-01-20 06:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,3,2023-01-20 07:00:00
No vale la pena el precio,Neutral,7,1,2023-01-20 08:00:00
"Me encanta este producto, excelente calidad",Positivo,8,4,2023-01-20 09:00:00
"Servicio terrible, muy decepcionado",Positivo,8,1,2023-01-20 10:00:00
"Producto regular, nada especial",Neutral,9,5,2023-01-20 11:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,1,2023-01-20 12:00:00
No vale la pena el precio,Neutral,15,1,2023-01-20 13:00:00
"Me encanta este producto, excelente calidad",Negativo,9,5,2023-01-20 14:00:00
"Servicio terrible, muy decepcionado",Positivo,7,0,2023-01-20 15:00:00
"Producto regular, nada especial",Negativo,9,2,2023-01-20 16:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,7,2,2023-01-20 17:00:00
No vale la pena el precio,Positivo,13,4,2023-01-20 18:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-20 19:00:00
"Servicio terrible, muy decepcionado",Positivo,15,4,2023-01-20 20:00:00
"Producto regular, nada especial",Neutral,9,5,2023-01-20 21:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,2,2023-01-20 22:00:00
No vale la pena el precio,Negativo,7,3,2023-01-20 23:00:00
"Me encanta este producto, excelente calidad",Positivo,13,4,2023-01-21 00:00:00
"Servicio terrible, muy decepcionado",Positivo,11,5,2023-01-21 01:00:00
"Producto regular, nada especial",Positivo,5,2,2023-01-21 02:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,14,4,2023-01-21 03:00:00
No vale la pena el precio,Neutral,8,4,2023-01-21 04:00:00
"Me encanta este producto, excelente calidad",Negativo,12,2,2023-01-21 05:00:00
"Servicio terrible, muy decepcionado",Positivo,5,3,2023-01-21 06:00:00
"Producto regular, nada especial",Neutral,6,0,2023-01-21 07:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,7,2023-01-21 08:00:00
No vale la pena el precio,Positivo,7,0,2023-01-21 09:00:00
"Me encanta este producto, excelente calidad",Negativo,10,0,2023-01-21 10:00:00
"Servicio terrible, muy decepcionado",Neutral,8,1,2023-01-21 11:00:00
"Producto regular, nada especial",Positivo,11,1,2023-01-21 12:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,0,2023-01-21 13:00:00
No vale la pena el precio,Neutral,7,1,2023-01-21 14:00:00
"Me encanta este producto, excelente calidad",Positivo,11,5,2023-01-21 15:00:00
"Servicio terrible, muy decepcionado",Positivo,10,0,2023-01-21 16:00:00
"Producto regular, nada especial",Negativo,6,6,2023-01-21 17:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,3,2023-01-21 18:00:00
No vale la pena el precio,Negativo,9,4,2023-01-21 19:00:00
